ITEM|LOC|PRODUCTIONMETHOD|DESCR|BOMNUM|EFF|DISC|LEADTIME|LEADTIMEEFFCNYCAL|NONEWSUPPLYDATE|PRIORITY|INCQTY|SPLITFACTOR|U_PLANMODULE
2000-281-391|1003|2000-281-391_1003_248|2000-281-391_1003_248|248|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-391|1006|2000-281-391_1006_249|2000-281-391_1006_249|249|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-424|1020|2000-281-424_1020_251|2000-281-424_1020_251|251|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-424|1006|2000-281-424_1006_252|2000-281-424_1006_252|252|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-001-049|1020|2000-001-049_1020_298|2000-001-049_1020_298|298|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-001-049|1006|2000-001-049_1006_253|2000-001-049_1006_253|253|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-446|1020|2000-281-446_1020_269|2000-281-446_1020_269|269|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-446|1006|2000-281-446_1006_268|2000-281-446_1006_268|268|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-452|1020|2000-281-452_1020_270|2000-281-452_1020_270|270|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-452|1006|2000-281-452_1006_271|2000-281-452_1006_271|271|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-001-050|1020|2000-001-050_1020_273|2000-001-050_1020_273|273|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-001-050|1006|2000-001-050_1006_272|2000-001-050_1006_272|272|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-396|1003|2000-281-396_1003_277|2000-281-396_1003_277|277|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-281-396|1006|2000-281-396_1006_276|2000-281-396_1006_276|276|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-001-001|1004|2001-001-001_1004_388|2001-001-001_1004_388|388|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-001-001|1011|2001-001-001_1011_389|2001-001-001_1011_389|389|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-311-262|1004|2000-311-262_1004_390|2000-311-262_1004_390|390|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-311-262|1029|2000-311-262_1029_391|2000-311-262_1029_391|391|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000002011|1004|100000002011_1004_445|100000002011_1004_445|445|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-736|1004|2000-293-736_1004_378|2000-293-736_1004_378|378|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-736|1029|2000-293-736_1029_379|2000-293-736_1029_379|379|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000002012|1017|100000002012_1017_446|100000002012_1017_446|446|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-724|1003|2000-293-724_1003_396|2000-293-724_1003_396|396|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-724|1017|2000-293-724_1017_397|2000-293-724_1017_397|397|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-719|1017|2000-293-719_1017_398|2000-293-719_1017_398|398|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-719|1003|2000-293-719_1003_399|2000-293-719_1003_399|399|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000002013|1006|100000002013_1006_447|100000002013_1006_447|447|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000002014|1006|100000002014_1006_448|100000002014_1006_448|448|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000002014|1020|100000002014_1020_449|100000002014_1020_449|449|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000002015|1006|100000002015_1006_450|100000002015_1006_450|450|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000002016|1006|100000002016_1006_451|100000002016_1006_451|451|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-610|1006|2000-285-610_1006_424|2000-285-610_1006_424|424|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-610|1020|2000-285-610_1020_425|2000-285-610_1020_425|425|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-678|1006|2000-285-678_1006_420|2000-285-678_1006_420|420|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-678|1020|2000-285-678_1020_421|2000-285-678_1020_421|421|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
