CUST|EXTREF|ORDERID|ITEM|LOC|QTY|U_ORDER_TYPE|U_CREATION_DT|U_RGID_DT|U_CGID_DT|MAXLATEDUR|U_COMMITTED_CO_FLAG|U_ENGINEERING|U_SHUTTLE|U_SAMPLE|U_NPI|U_EXPEDITE|U_DPAS|U_SPECIAL|U_BACKLOG|LINEITEMEXTREF|FCSTSW|STATUS|OP_CONSUMEEARLY|U_PLANMODULE|DELRDD_CALC_DT|GI_DT
6200000072|1020000500|1020000500_0010_0001|100000000004|1004|50|ZOR|14-08-2025|14-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000501|1020000501_0010_0001|100000000004|1004|25|ZOR|13-08-2025|13-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000502|1020000502_0010_0001|100000000004|1004|25|ZOR|17-07-2025|24-09-2025||120960|0|0|0|0|0|0|0|0|0|10|1|1|86|BY_IF||
6200000072|1020000503|1020000503_0010_0001|100000000004|1004|25|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000504|1020000504_0010_0001|100000000004|1004|25|ZOR|16-08-2025|16-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000505|1020000505_0010_0001|100000000004|1004|10|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000506|1020000506_0010_0001|100000000004|1004|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000507|1020000507_0010_0001|100000000004|1004|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000508|1020000508_0010_0001|100000000004|1004|75|ZOR|24-07-2025|24-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000509|1020000509_0010_0001|100000000004|1004|25|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000510|1020000510_0010_0001|100000000004|1004|50|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000511|1020000511_0010_0001|100000000004|1004|10|ZOR|30-08-2025|30-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000512|1020000512_0010_0001|100000000004|1004|25|ZOR|27-06-2025|24-09-2025||120960|0|0|0|0|0|0|0|0|0|10|1|1|86|BY_IF||
6200000072|1020000513|1020000513_0010_0001|100000000004|1004|25|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000514|1020000514_0010_0001|100000000004|1004|20|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000515|1020000515_0010_0001|100000000004|1004|100|ZOR|17-08-2025|17-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000516|1020000516_0010_0001|100000000004|1004|100|ZOR|18-08-2025|18-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000517|1020000517_0010_0001|100000000004|1004|100|ZOR|14-08-2025|14-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000518|1020000518_0010_0001|100000000004|1004|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000519|1020000519_0010_0001|100000000004|1004|50|ZOR|18-08-2025|18-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000520|1020000520_0010_0001|100000000004|1004|20|ZOR|22-07-2025|22-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000521|1020000521_0010_0001|100000000004|1004|50|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000522|1020000522_0010_0001|100000000004|1004|100|ZOR|13-08-2025|13-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000523|1020000523_0010_0001|100000000004|1004|25|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000524|1020000524_0010_0001|100000000004|1012|10|ZOR|09-08-2025|09-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000525|1020000525_0010_0001|100000000004|1012|20|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000526|1020000526_0010_0001|100000000004|1012|20|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000527|1020000527_0010_0001|100000000004|1012|25|ZOR|18-08-2025|18-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000528|1020000528_0010_0001|100000000004|1012|25|ZOR|13-08-2025|13-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1020000529|1020000529_0010_0001|100000000004|1012|50|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
