RES|LOC|DESCR|TYPE|CAL|CHECKMAXCAP|STAGE|RELEASEFENCEDUR|PEGGINGSW|U_RESTYPE|U_HIERCOL_1|U_HIERCOL_2|U_PLANMODULE
RES_C4_LRP_CEVcn_F21|1006|RES_C4_LRP_CEVcn_F21|4|IF_RCAL_RES_C4_LRP_CEVcn_F21|4|BUMP|564480|1|Equipment|||BY_IF
RES_NO_SORT_RESOURCE_SAL_SAL|1020|RES_NO_SORT_RESOURCE_SAL_SAL|4|IF_RCAL_RES_NO_SORT_RESOURCE_SAL_SAL|4|SORT|10080|1|Equipment|||BY_IF
RES_TTTa1_SAL|1020|RES_TTTa1_SAL|4|IF_RCAL_RES_TTTa1_SAL|4|SORT|564480|1|Equipment|||BY_IF
RES_USPa_SAL|1020|RES_USPa_SAL|4|IF_RCAL_RES_USPa_SAL|4|SORT|564480|1|Equipment|||BY_IF
RES_WTTaa_SAL|1020|RES_WTTaa_SAL|4|IF_RCAL_RES_WTTaa_SAL|4|SORT|564480|1|Equipment|||BY_IF
RES_XIU_LNLCPU_SAL|1020|RES_XIU_LNLCPU_SAL|4|IF_RCAL_RES_XIU_LNLCPU_SAL|4|SORT|564480|1|Equipment|||BY_IF
RES_XIU_LNLSOCM_SAL|1020|RES_XIU_LNLSOCM_SAL|4|IF_RCAL_RES_XIU_LNLSOCM_SAL|4|SORT|564480|1|Equipment|||BY_IF
VNAT envelop EPXx|1004|VNAT envelop EPXx|4|R_CAL_VNAT envelop EPXx|4|FINISH|0|1|CAPACITY ENVELOPE|||BY_IF
VNAT envelop HXVab|1004|VNAT envelop HXVab|4|R_CAL_VNAT envelop HXVab|4|FIINISH|0|1|CAPACITY ENVELOPE|||BY_IF
SS_LNL M 4+4+2 16x2GB|1004|SS_LNL M 4+4+2 16x2GB|4|R_CAL_SS_LNL M 4+4+2 16x2GB|4|FINISH|0|1|MAX CAPACITY ENVELOPE|||BY_IF
VNAT envelop EPX|1011|VNAT envelop EPX|4|R_CAL_VNAT envelop EPX|4|TEST|0|1|CAPACITY ENVELOPE|||BY_IF
