ITEM|SUBORD|LOC|BOMNUM|OFFSET|EFF|DISC|DRAWQTY|YIELDCAL|YIELDFACTOR|U_INTEL_BOMID|U_PLANMODULE
2000-288-665|100000000028|1003|216|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-665_1003|100||BY_IF
2000-288-665|100000000028|1006|217|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-665_1006|100||BY_IF
2000-288-671|100000000029|1003|211|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-671_1003|100||BY_IF
2000-288-671|100000000029|1006|210|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-671_1006|100||BY_IF
2000-288-667|100000000029|1003|212|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-667_1003|100||BY_IF
2000-288-667|100000000029|1006|213|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-667_1006|100||BY_IF
2000-288-677|100000000029|1003|215|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-677_1003|100||BY_IF
2000-288-661|100000000029|1003|219|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-661_1003|100||BY_IF
2000-288-661|100000000029|1006|218|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-661_1006|100||BY_IF
2000-288-667|100000000030|1003|212|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-667_1003|100||BY_IF
2000-288-667|100000000030|1006|213|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-667_1006|100||BY_IF
2000-288-677|100000000029|1006|214|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-677_1006|100||BY_IF
2000-288-677|100000000031|1003|215|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-677_1003|100||BY_IF
2000-288-677|100000000031|1006|214|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-677_1006|100||BY_IF
2000-288-665|100000000032|1003|216|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-665_1003|100||BY_IF
2000-288-665|100000000032|1006|217|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-665_1006|100||BY_IF
2000-295-273|100000000032|1003|220|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-295-273_1003|100||BY_IF
2000-295-273|100000000032|1006|221|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-295-273_1006|100||BY_IF
2000-288-661|100000000033|1003|219|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-661_1003|100||BY_IF
2000-288-661|100000000033|1006|218|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-661_1006|100||BY_IF
2000-295-273|100000000033|1003|220|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-295-273_1003|100||BY_IF
2000-295-273|100000000033|1006|221|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-295-273_1006|100||BY_IF
100000000009|2000-281-427|1003|315|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000009_1003|100||BY_IF
100000000009|2000-281-427|1006|316|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000009_1006|100||BY_IF
100000000110|100000000034|1003|289|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000110_1003|100||BY_IF
100000000110|100000000034|1006|290|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000110_1006|100||BY_IF
100000000111|2000-281-512|1003|321|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000111_1003|100||BY_IF
100000000111|2000-281-512|1006|322|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000111_1006|100||BY_IF
100000000112|2000-281-514|1003|293|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000112_1003|100||BY_IF
100000000112|2000-281-514|1006|317|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000112_1006|100||BY_IF
100000000113|2000-281-391|1003|318|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000113_1003|100||BY_IF
