ITEM|LOC|PRODUCTIONMETHOD|STEPNUM|EFF|RES|PRODRATE|PRODRATECAL|PRODDUR|NEXTSTEPTIMING|U_PLANMODULE
2001-001-001|1004|2001-001-001_1004_388|2|01-01-1970|VNAT envelop EPXx|1.0|PR_CAL_2001-001-001_1004_2|0|1|BY_IF
2001-001-001|1004|2001-001-001_1004_388|3|01-01-1970|VNAT envelop HXVab|1.0|PR_CAL_2001-001-001_1004_3|0|1|BY_IF
2001-001-001|1004|2001-001-001_1004_388|4|01-01-1970|SS_LNL M 4+4+2 16x2GB|1.0|PR_CAL_2001-001-001_1004_4|0|1|BY_IF
2001-001-001|1011|2001-001-001_1011_389|1|01-01-1970| |1.0||1440|1|BY_IF
2001-001-001|1011|2001-001-001_1011_389|2|01-01-1970|VNAT envelop EPX|1.0|PR_CAL_2001-001-001_1011_2|0|1|BY_IF
2001-001-001|1011|2001-001-001_1011_389|3|01-01-1970|VNAT envelop HXV|1.0|PR_CAL_2001-001-001_1011_3|0|1|BY_IF
2000-311-262|1004|2000-311-262_1004_390|1|01-01-1970| |1.0||1440|1|BY_IF
2000-311-262|1004|2000-311-262_1004_390|1|01-01-1970|VNAT envelop EP-Assy|1.0|PR_CAL_2000-311-262_1004_2|0|1|BY_IF
2000-311-262|1004|2000-311-262_1004_390|1|01-01-1970|VNAT envelop HX-Assy|1.0|PR_CAL_2000-311-262_1004_3|0|1|BY_IF
2000-311-262|1029|2000-311-262_1029_391|1|01-01-1970| |1.0||1440|1|BY_IF
2000-311-262|1029|2000-311-262_1029_391|2|01-01-1970|VNAT envelop EP-Assy|1.0|PR_CAL_2000-311-262_1029_2|0|1|BY_IF
2000-311-262|1029|2000-311-262_1029_391|3|01-01-1970|VNAT envelop HX-Assy|1.0|PR_CAL_2000-311-262_1029_3|0|1|BY_IF
100000002011|1004|100000002011_1004_445|1|01-01-1970| |1.0||1440|1|BY_IF
100000002011|1004|100000002011_1004_445|2|01-01-1970|VNAT envelop EPXx|1.0|PR_CAL_100000002011_1004_2|0|1|BY_IF
100000002011|1004|100000002011_1004_445|3|01-01-1970|VNAT envelop HXVab|1.0|PR_CAL_100000002011_1004_3|0|1|BY_IF
100000002011|1004|100000002011_1004_445|4|01-01-1970|SS_LNL M 4+4+2 16x2GB|1.0|PR_CAL_100000002011_1004_4|0|1|BY_IF
2000-293-736|1004|2000-293-736_1004_378|1|01-01-1970| |1.0||1440|1|BY_IF
2000-293-736|1004|2000-293-736_1004_378|2|01-01-1970|VNAT envelop EP-Assy|1.0|PR_CAL_2000-293-736_1004_2|0|1|BY_IF
2000-293-736|1004|2000-293-736_1004_378|3|01-01-1970|VNAT envelop HX-Assy|1.0|PR_CAL_2000-293-736_1004_3|0|1|BY_IF
2000-293-736|1029|2000-293-736_1029_379|1|01-01-1970| |1.0||1440|1|BY_IF
2000-293-736|1029|2000-293-736_1029_379|2|01-01-1970|VNAT envelop EP-Assy|1.0|PR_CAL_2000-293-736_1029_2|0|1|BY_IF
2000-293-736|1029|2000-293-736_1029_379|3|01-01-1970|VNAT envelop HX-Assy|1.0|PR_CAL_2000-293-736_1029_3|0|1|BY_IF
100000002012|1017|100000002012_1017_446|1|01-01-1970| |1.0||0|1|BY_IF
2000-293-724|1003|2000-293-724_1003_396|1|01-01-1970| |1.0||0|1|BY_IF
2000-293-724|1017|2000-293-724_1017_397|1|01-01-1970| |1.0||0|1|BY_IF
2000-293-719|1017|2000-293-719_1017_398|1|01-01-1970| |1.0||0|1|BY_IF
2000-293-719|1003|2000-293-719_1003_399|1|01-01-1970| |1.0||0|1|BY_IF
100000002013|1006|100000002013_1006_447|1|01-01-1970| |1.0||0|1|BY_IF
100000002014|1006|100000002014_1006_448|1|01-01-1970| |1.0||0|1|BY_IF
100000002014|1020|100000002014_1020_449|1|01-01-1970| |1.0||0|1|BY_IF
100000002015|1006|100000002015_1006_450|1|01-01-1970| |1.0||0|1|BY_IF
100000002016|1006|100000002016_1006_451|1|01-01-1970| |1.0||0|1|BY_IF
2000-285-610|1020|2000-285-610_1020_425|1|01-01-1970| |1.0||0|1|BY_IF
2001-001-003|1006|2001-001-003_1006_432|1|01-01-1970| |1.0||0|1|BY_IF
2001-001-003|1020|2001-001-003_1020_433|1|01-01-1970| |1.0||0|1|BY_IF
2001-001-002|1006|2001-001-002_1006_428|1|01-01-1970| |1.0||0|1|BY_IF
2001-001-002|1020|2001-001-002_1020_429|1|01-01-1970| |1.0||0|1|BY_IF
2001-000-001|1004|2001-000-001_1004_458|10|01-01-1970| |1.0||1440|1|BY_IF
2001-000-001|1004|2001-000-001_1004_458|20|01-01-1970|KuAT_Envelop_TSXf|1.0|PR_CAL_2001-000-001_1004_20|0|1|BY_IF
2001-000-001|1004|2001-000-001_1004_458|30|01-01-1970|KM5_CaymanPoint|1.0||0|1|BY_IF
2000-322-146|1004|2000-322-146_1004_460|1|01-01-1970| |1.0||0|1|BY_IF
2000-322-142|1004|2000-322-142_1004_459|1|01-01-1970| |1.0||0|1|BY_IF
2000-314-350|1006|2000-314-350_1006_467|1|01-01-1970| |1.0||0|1|BY_IF
