ITEM|LOC|CONSTRSTOCKLOWDATE|CONSTRSTOCKLOWDUR|CONSTRSTOCKLOWQTY|CONSTRSTOCKOUTDATE|CONSTRSTOCKOUTQTY|CONSTRSTOCKOUTDUR|MAXCONSTRPROJOHDATE|MAXCONSTRCOVDATE|MAXCONSTRCOVDUR|MAXCONSTRPROJOH|MINCONSTRCOVDATE|MINCONSTRCOVDUR|OPTIONSET|PROCESSDATE|STARTDATE|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
2001-001-002|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2001-001-003|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000006|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000024|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000025|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000035|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000036|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000107|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000001001|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002001|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002002|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002007|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002011|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002023|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-291-742|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-291-749|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-736|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-309-414|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-309-877|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-311-262|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-314-350|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-322-142|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-322-146|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2001-000-001|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2001-001-001|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
A95538-012|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
N41399-001|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
N44236-002|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
N51852-001|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002003|1017|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002004|1017|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002005|1017|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002006|1017|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002012|1017|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002013|1017|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-719|1017|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-724|1017|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000009|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000026|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000027|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000028|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
