LOC|RES|STARTDATE|OPTIONSET|AVAILCAP|MPPOLOAD|MPSCHEDRCPTLOAD|MPTOTLOAD|MPTOTLOADFCSTORDER|PCTUSED|RESCOUNTEXCEPTION|RESSOURCEEXCEPTION|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
1003|ACWaa_1003|27-DEC-2025|BATCH_IF_SRP|2377.703705|0|0|46.2962950000001|0|1.9099131600660106|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|03-JAN-2026|BATCH_IF_SRP|2377.703705|0|0|46.2962950000001|0|1.9099131600660106|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|10-JAN-2026|BATCH_IF_SRP|2374.0000019999998|0|0|49.999998000000005|0|2.062706188118812|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|17-JAN-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|24-JAN-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|31-JAN-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|07-FEB-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|14-FEB-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|21-FEB-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|28-FEB-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
