ITEM|SOURCE|DEST|SEQNUM|HEADERSEQNUM|SCHEDARRIVDATE|SCHEDSHIPDATE|QTY|FIRMPLANSW|SOURCING|TRANSMODE|PROJECT|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000004|1004|VF|4153|4153|28-NOV-2026|28-NOV-2026|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4154|4154|05-DEC-2026|05-DEC-2026|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4155|4155|12-DEC-2026|12-DEC-2026|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4156|4156|19-DEC-2026|19-DEC-2026|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4157|4157|26-DEC-2026|26-DEC-2026|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4158|4158|02-JAN-2027|02-JAN-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4159|4159|09-JAN-2027|09-JAN-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4160|4160|16-JAN-2027|16-JAN-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4161|4161|23-JAN-2027|23-JAN-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4162|4162|30-JAN-2027|30-JAN-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4163|4163|06-FEB-2027|06-FEB-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4164|4164|13-FEB-2027|13-FEB-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4165|4165|20-FEB-2027|20-FEB-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4166|4166|27-FEB-2027|27-FEB-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4167|4167|06-MAR-2027|06-MAR-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4168|4168|13-MAR-2027|13-MAR-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4169|4169|20-MAR-2027|20-MAR-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4170|4170|27-MAR-2027|27-MAR-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4171|4171|03-APR-2027|03-APR-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4172|4172|10-APR-2027|10-APR-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4173|4173|17-APR-2027|17-APR-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4174|4174|24-APR-2027|24-APR-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4175|4175|01-MAY-2027|01-MAY-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4176|4176|08-MAY-2027|08-MAY-2027|67.394981|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4177|4177|22-MAY-2027|22-MAY-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|VF|4178|4178|29-MAY-2027|29-MAY-2027|75|0|100000000004_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3918|3918|22-NOV-2025|22-NOV-2025|38|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3919|3919|01-AUG-2026|01-AUG-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3920|3920|08-AUG-2026|08-AUG-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3921|3921|15-AUG-2026|15-AUG-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3922|3922|22-AUG-2026|22-AUG-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3923|3923|29-AUG-2026|29-AUG-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3924|3924|05-SEP-2026|05-SEP-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3925|3925|12-SEP-2026|12-SEP-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3926|3926|19-SEP-2026|19-SEP-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3927|3927|26-SEP-2026|26-SEP-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3928|3928|03-OCT-2026|03-OCT-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3929|3929|10-OCT-2026|10-OCT-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3930|3930|17-OCT-2026|17-OCT-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3931|3931|24-OCT-2026|24-OCT-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3932|3932|31-OCT-2026|31-OCT-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3933|3933|07-NOV-2026|07-NOV-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3934|3934|14-NOV-2026|14-NOV-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3935|3935|21-NOV-2026|21-NOV-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3936|3936|28-NOV-2026|28-NOV-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3937|3937|05-DEC-2026|05-DEC-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3938|3938|12-DEC-2026|12-DEC-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3939|3939|19-DEC-2026|19-DEC-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3940|3940|26-DEC-2026|26-DEC-2026|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3941|3941|02-JAN-2027|02-JAN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3942|3942|09-JAN-2027|09-JAN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3943|3943|16-JAN-2027|16-JAN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3944|3944|23-JAN-2027|23-JAN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3945|3945|30-JAN-2027|30-JAN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3946|3946|06-FEB-2027|06-FEB-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3947|3947|13-FEB-2027|13-FEB-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3948|3948|20-FEB-2027|20-FEB-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3949|3949|27-FEB-2027|27-FEB-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3950|3950|06-MAR-2027|06-MAR-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3951|3951|13-MAR-2027|13-MAR-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3952|3952|20-MAR-2027|20-MAR-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3953|3953|27-MAR-2027|27-MAR-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
