ITEM|RES|LOC|SUPPLYTYPE|PRODUCTIONMETHOD|STEPNUM|WHENLOADED|LOADQTY|SOURCEOPT|RESLOC|CUSTORDLOADQTY|FCSTORDLOADQTY|SSLOADQTY|SUPPLYQTY|STARTDATE|SUPPLYSEQNUM|SOURCE|NEEDDATE|SCHEDDATE|EXPDATE|PROCESSID|OFFSET|ROUTINGNEEDCOMPLETEDATE|DMDNEEDDATE|DMDORDERSEQNUM|DMDORDERTYPE|SUPPLYORDERSEQNUM|OPTIONSETNAME|SUPPLYORDERNUM|LOADDUR|DMDEXPDATE|IMPORTEDSW|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000004|CD6_MTL U 2C+8A+GT1 15W|1004|2|100000000004_1004_303|5|10-AUG-2025|750|1|1004|750|0|0|750|09-AUG-2025|3563| |01-JAN-1970|10-AUG-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3563|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CD6_MTL U 2C+8A+GT1 15W|1004|2|100000000004_1004_303|5|17-AUG-2025|275|1|1004|275|0|0|275|16-AUG-2025|3564| |01-JAN-1970|17-AUG-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3564|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CD6_MTL U 2C+8A+GT1 15W|1004|2|100000000004_1004_303|5|31-AUG-2025|573.299988|1|1004|60|513.299988|0|573.299988|30-AUG-2025|3565| |01-JAN-1970|31-AUG-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3565|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CD6_MTL U 2C+8A+GT1 15W|1004|2|100000000004_1004_303|5|07-SEP-2025|573.299988|1|1004|0|573.299988|0|573.299988|06-SEP-2025|3566| |01-JAN-1970|07-SEP-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3566|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CD6_MTL U 2C+8A+GT1 15W|1004|2|100000000004_1004_303|5|14-SEP-2025|573.299988|1|1004|0|573.299988|0|573.299988|13-SEP-2025|3567| |01-JAN-1970|14-SEP-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3567|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CD6_MTL U 2C+8A+GT1 15W|1004|2|100000000004_1004_303|5|28-SEP-2025|411.195099|1|1004|0|411.195099|0|411.195099|27-SEP-2025|3568| |01-JAN-1970|28-SEP-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3568|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CD6_MTL U 2C+8A+GT1 15W|1004|2|100000000004_1004_303|5|05-OCT-2025|573.299988|1|1004|0|573.299927|0|573.299988|04-OCT-2025|3569| |01-JAN-1970|05-OCT-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3569|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CDAT envelop HPOb|1004|2|100000000004_1004_303|3|10-AUG-2025|765.306091|1|1004|765.30603|0|0|750|09-AUG-2025|3563| |01-JAN-1970|10-AUG-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3563|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CDAT envelop HPOb|1004|2|100000000004_1004_303|3|17-AUG-2025|280.612244|1|1004|280.612244|0|0|275|16-AUG-2025|3564| |01-JAN-1970|17-AUG-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3564|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CDAT envelop HPOb|1004|2|100000000004_1004_303|3|31-AUG-2025|585|1|1004|61.224491|523.775513|0|573.299988|30-AUG-2025|3565| |01-JAN-1970|31-AUG-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3565|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CDAT envelop HPOb|1004|2|100000000004_1004_303|3|07-SEP-2025|585|1|1004|0|584.999939|0|573.299988|06-SEP-2025|3566| |01-JAN-1970|07-SEP-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3566|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|CDAT envelop HPOb|1004|2|100000000004_1004_303|3|14-SEP-2025|585|1|1004|0|584.999939|0|573.299988|13-SEP-2025|3567| |01-JAN-1970|14-SEP-2025|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |3567|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
