ITEM|LOC|SEQNUM|SCHEDDATE|STARTDATE|QTY|PRODUCTIONMETHOD|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000004|1004|3569|05-OCT-2025|04-OCT-2025|573.299988|100000000004_1004_303|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|3568|28-SEP-2025|27-SEP-2025|411.195099|100000000004_1004_303|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|3567|14-SEP-2025|13-SEP-2025|573.299988|100000000004_1004_303|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|3566|07-SEP-2025|06-SEP-2025|573.299988|100000000004_1004_303|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|3565|31-AUG-2025|30-AUG-2025|573.299988|100000000004_1004_303|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|3564|17-AUG-2025|16-AUG-2025|275|100000000004_1004_303|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|3563|10-AUG-2025|09-AUG-2025|750|100000000004_1004_303|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1011|3659|12-OCT-2025|11-OCT-2025|475.628906|100000000004_1011_304|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1011|3658|05-OCT-2025|04-OCT-2025|11.70002|100000000004_1011_304|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1011|3657|28-SEP-2025|27-SEP-2025|148.476105|100000000004_1011_304|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1011|3656|21-SEP-2025|20-SEP-2025|11.70002|100000000004_1011_304|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1011|3655|14-SEP-2025|13-SEP-2025|11.70002|100000000004_1011_304|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1011|3654|07-SEP-2025|06-SEP-2025|11.70002|100000000004_1011_304|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1011|3653|31-AUG-2025|30-AUG-2025|11.70002|100000000004_1011_304|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4134|18-JUL-2027|17-JUL-2027|150|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4133|11-JUL-2027|10-JUL-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4132|04-JUL-2027|03-JUL-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4131|27-JUN-2027|26-JUN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4130|20-JUN-2027|19-JUN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4129|13-JUN-2027|12-JUN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4128|06-JUN-2027|05-JUN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4127|30-MAY-2027|29-MAY-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4126|23-MAY-2027|22-MAY-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4125|16-MAY-2027|15-MAY-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4124|09-MAY-2027|08-MAY-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4123|02-MAY-2027|01-MAY-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4122|25-APR-2027|24-APR-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4121|18-APR-2027|17-APR-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4120|11-APR-2027|10-APR-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4119|04-APR-2027|03-APR-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4118|28-MAR-2027|27-MAR-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4117|21-MAR-2027|20-MAR-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4116|14-MAR-2027|13-MAR-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4115|07-MAR-2027|06-MAR-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4114|28-FEB-2027|27-FEB-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4113|21-FEB-2027|20-FEB-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4112|14-FEB-2027|13-FEB-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4111|07-FEB-2027|06-FEB-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4110|31-JAN-2027|30-JAN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4109|24-JAN-2027|23-JAN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4108|17-JAN-2027|16-JAN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4107|10-JAN-2027|09-JAN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4106|03-JAN-2027|02-JAN-2027|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4105|27-DEC-2026|26-DEC-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4104|20-DEC-2026|19-DEC-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4103|13-DEC-2026|12-DEC-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4102|06-DEC-2026|05-DEC-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4101|29-NOV-2026|28-NOV-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4100|22-NOV-2026|21-NOV-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4099|15-NOV-2026|14-NOV-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4098|08-NOV-2026|07-NOV-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4097|01-NOV-2026|31-OCT-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|4096|25-OCT-2026|24-OCT-2026|75|100000000005_1004_305|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
