ITEM|LOC|DMDTYPE|EXTORDERID|SEQNUM|NEEDDATE|CALCPRIORITY|CONSUMEDQTY|HEADEREXTREF|FCSTSW|MARGIN|MAXLATEDUR|PRIORITY|QTY|REVENUE|COST|SCHEDDATE|SCHEDQTY|SCHEDSTATUS|AVAILDATE|PRIORITYSEQNUM|PROCESSSEQNUM|FCSTSEQNUM|SSSEQNUM|CUST|SUPERSEDESW|CALCREVENUE|CALCMARGIN|PRIORITYGROUP|DMDGROUP|TYPE|SCHEDSEQNUM|EFFCOVDUR|SHIPSTATUS|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000004|1004|1|1020000500_0010_0001|0|14-AUG-2025|0|0|1020000500|1|0|120960|200|50|0|0|14-AUG-2025|50|1|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8366|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000501_0010_0001|0|13-AUG-2025|0|0|1020000501|1|0|120960|200|25|0|0|13-AUG-2025|25|1|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8436|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000502_0010_0001|0|24-SEP-2025|0|0|1020000502|1|0|120960|200|25|0|0|24-SEP-2025|25|1|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8096|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000503_0010_0001|0|23-JUL-2025|0|0|1020000503|1|0|120960|200|25|0|0|09-AUG-2025|25|3|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8447|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000504_0010_0001|0|16-AUG-2025|0|0|1020000504|1|0|120960|200|25|0|0|16-AUG-2025|25|1|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8297|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000505_0010_0001|0|12-AUG-2025|0|0|1020000505|1|0|120960|200|10|0|0|12-AUG-2025|10|1|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8526|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000506_0010_0001|0|11-AUG-2025|0|0|1020000506|1|0|120960|200|25|0|0|11-AUG-2025|25|1|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8861|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000507_0010_0001|0|11-AUG-2025|0|0|1020000507|1|0|120960|200|25|0|0|11-AUG-2025|25|1|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8851|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000508_0010_0001|0|24-JUL-2025|0|0|1020000508|1|0|120960|200|75|0|0|09-AUG-2025|75|3|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|9395|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|1|1020000509_0010_0001|0|12-AUG-2025|0|0|1020000509|1|0|120960|200|25|0|0|12-AUG-2025|25|1|01-JAN-1970|0|-1|0|0|6200000072|0|0|0|0|6200000072|0|8525|0|1|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
